city,city_ascii,state_id,state_name,county_name,population
Nampa,Nampa,ID,Idaho,Canyon,184428
Coeur d'Alene,Coeur d'Alene,ID,Idaho,Kootenai,116834
Meridian,Meridian,ID,Idaho,Ada,114161
Idaho Falls,Idaho Falls,ID,Idaho,Bonneville,100442
Pocatello,Pocatello,ID,Idaho,Bannock,72878
Caldwell,Caldwell,ID,Idaho,Canyon,58481
Twin Falls,Twin Falls,ID,Idaho,Twin Falls,55556
Lewiston,Lewiston,ID,Idaho,Nez Perce,53384
Post Falls,Post Falls,ID,Idaho,Kootenai,36250
Chicago,Chicago,IL,Illinois,Cook,8604203
Rockford,Rockford,IL,Illinois,Winnebago,282762
Round Lake Beach,Round Lake Beach,IL,Illinois,Lake,279381
Peoria,Peoria,IL,Illinois,Peoria,256286
Aurora,Aurora,IL,Illinois,Kane,197757
Champaign,Champaign,IL,Illinois,Champaign,159443
Springfield,Springfield,IL,Illinois,Sangamon,158509
Naperville,Naperville,IL,Illinois,DuPage,148449
Joliet,Joliet,IL,Illinois,Will,147344
Bloomington,Bloomington,IL,Illinois,McLean,133846
Indianapolis,Indianapolis,IN,Indiana,Marion,1588961
Fort Wayne,Fort Wayne,IN,Indiana,Allen,334122
South Bend,South Bend,IN,Indiana,St. Joseph,280498
Evansville,Evansville,IN,Indiana,Vanderburgh,230427
Lafayette,Lafayette,IN,Indiana,Tippecanoe,157820
Elkhart,Elkhart,IN,Indiana,Elkhart,147567
Bloomington,Bloomington,IN,Indiana,Monroe,115884
Carmel,Carmel,IN,Indiana,Hamilton,101068
Fishers,Fishers,IN,Indiana,Hamilton,95310
Terre Haute,Terre Haute,IN,Indiana,Vigo,92490
Des Moines,Des Moines,IA,Iowa,Polk,473957
Davenport,Davenport,IA,Iowa,Scott,285362
Cedar Rapids,Cedar Rapids,IA,Iowa,Linn,188038
Iowa City,Iowa City,IA,Iowa,Johnson,118041
Waterloo,Waterloo,IA,Iowa,Black Hawk,111631
Sioux City,Sioux City,IA,Iowa,Woodbury,106455
Dubuque,Dubuque,IA,Iowa,Dubuque,68109
Ames,Ames,IA,Iowa,Story,67910
West Des Moines,West Des Moines,IA,Iowa,Polk,67899
Ankeny,Ankeny,IA,Iowa,Polk,67355
Wichita,Wichita,KS,Kansas,Sedgwick,482249
Overland Park,Overland Park,KS,Kansas,Johnson,195494
Kansas City,Kansas City,KS,Kansas,Wyandotte,152960
Topeka,Topeka,KS,Kansas,Shawnee,147458
Olathe,Olathe,KS,Kansas,Johnson,140545
Lawrence,Lawrence,KS,Kansas,Douglas,98648
Shawnee,Shawnee,KS,Kansas,Johnson,65807
Manhattan,Manhattan,KS,Kansas,Riley,57046
Lenexa,Lenexa,KS,Kansas,Johnson,55625
Salina,Salina,KS,Kansas,Saline,46340
Louisville,Louisville,KY,Kentucky,Jefferson,1005654
Lexington,Lexington,KY,Kentucky,Fayette,317110
Bowling Green,Bowling Green,KY,Kentucky,Warren,95135
Elizabethtown,Elizabethtown,KY,Kentucky,Hardin,78002
Owensboro,Owensboro,KY,Kentucky,Daviess,74068
Paducah,Paducah,KY,Kentucky,McCracken,48481
Richmond,Richmond,KY,Kentucky,Madison,40972
Covington,Covington,KY,Kentucky,Kenton,40341
Frankfort,Frankfort,KY,Kentucky,Franklin,38852
London,London,KY,Kentucky,Laurel,37714
New Orleans,New Orleans,LA,Louisiana,Orleans,1020886
Baton Rouge,Baton Rouge,LA,Louisiana,East Baton Rouge,570308
Shreveport,Shreveport,LA,Louisiana,Caddo,280062
Lafayette,Lafayette,LA,Louisiana,Lafayette,264357
Lake Charles,Lake Charles,LA,Louisiana,Calcasieu,156181
Metairie,Metairie,LA,Louisiana,Jefferson,143481
