key,impact_chosen,title,relevance
AZ-HB2889-Y2020,None,"Auditor general; charter schools. ","'School district' => 'Education', 'School districts' => 'Education', 'School' => 'Education', 'Arizona' => 'Location', 'Audit' => 'None'"
AZ-HB2890-Y2020,None,"Government vehicles; electric; appropriation. ","'Arizona' => 'Location', 'Appropriation' => 'None', 'Government' => 'None', 'Legislature' => 'None', 'Section' => 'None'"
AZ-HB2891-Y2020,None,"Arizona online instruction; cost study. ","'Arizona' => 'Location', 'Appropriation' => 'None', 'Legislature' => 'None', 'State' => 'None', 'Statute' => 'None'"
AZ-HB2892-Y2020,Healthcare,"Missing persons; law enforcement duties. ","'Prosthetics' => 'Healthcare', 'Social security' => 'Jobs', 'Death' => 'Safety', 'Law enforcement' => 'Safety', 'Missing person' => 'Safety'"
AZ-HB2893-Y2020,None,"Sealing arrest; conviction; sentencing records. ","'Arizona' => 'Location', 'Appeal' => 'None', 'Appropriation' => 'None', 'Legislature' => 'None', 'Plea' => 'None'"
AZ-HB2894-Y2020,Safety,"Independent corrections ombudsman; oversight committee. ","'Corrections' => 'Safety', 'Abuse' => 'Safety', 'Arizona' => 'Location', 'Annual report' => 'None', 'Appropriation' => 'None'"
AZ-HB2895-Y2020,Healthcare,"Subsequent irrigation non-expansion areas; procedures. ","'Hearing' => 'Healthcare', 'Arizona' => 'Location', 'Legislature' => 'None', 'Section' => 'None', 'State' => 'None'"
AZ-HB2896-Y2020,Environment,"Water; rural management areas. ","'Water' => 'Environment', 'Arizona' => 'Location', 'Evidence' => 'None', 'Legislature' => 'None', 'Management' => 'None'"
AZ-HB2897-Y2020,None,"Municipal election; fire service tax. ","'Arizona' => 'Location', 'Legislature' => 'None', 'Section' => 'None', 'State' => 'None', 'Statute' => 'None'"
AZ-HB2898-Y2020,None,"Empowerment scholarships; qualified schools; parent. ","'Curriculum' => 'Education', 'Arizona' => 'Location', 'United States' => 'Location', 'Indian reservation' => 'Racial', 'Legislature' => 'None'"
AZ-HB2899-Y2020,Environment,"Fuel; electric cars; hybrids; taxes. ","'Compressed natural gas' => 'Environment', 'Arizona' => 'Location', 'United States' => 'Location', 'Constitution' => 'None', 'Fee' => 'None'"
AZ-HB2900-Y2020,Safety,"Criminal justice; budget reconciliation; 2020-2021. ","'Gang' => 'Safety', 'Arizona' => 'Location', 'Award' => 'None', 'Criminal justice' => 'None', 'Insurance' => 'None'"
AZ-HB2901-Y2020,None,"Revenue; budget reconciliation; 2020-2021. ","'Arizona' => 'Location', 'United States' => 'Location', 'County' => 'None', 'Fee' => 'None', 'Fraud' => 'None'"
AZ-HB2902-Y2020,Healthcare,"K-12 education; budget reconciliation; 2020-2021. ","'Hearing' => 'Healthcare', 'Certified teacher' => 'Jobs', 'Home' => 'Safety', 'Child' => 'Safety', 'Transport' => 'Transportation'"
