key,location,impact,title,summary
AZ-SB-1682 (2020),"Arizona, USA",Safety,Protection requirements for foster children,"The results of background checks for each adult member of the foster care placement household will be used to determine danger level.  Foster children shall be kept safe from placements that constitute a Tier 5 danger. If the department determines that a placement constitutes a tier 5 danger, the department shall remove all foster children from this placement within four(24)  hours after making the determination."
AZ-HB-2817 (2020),"Arizona, USA",Transportation,Public airport fees prohibited for Ride Sharing companies,"Additional or more restrictive requirements may not include a tax, fee or assessment of any kind on transportation network companies for operating at a public airport.  Transportation Network Companies include Taxis, Limousines and Ride Sharing companies."
