key,location,impact,title,summary
UK PGA 2019 c. 9,United Kingdom,Safety,Stalking Protection Act 2019,An Act to make provision for orders to protect persons from risks associated with stalking; and for connected purposes.
UK PGA 2019 c. 5,United Kingdom,Safety,Crime (Overseas Production Orders) Act 2019,An Act to make provision about overseas production orders and about the designation of international agreements for the purposes of section 52 of the Investigatory Powers Act 2016.
