key,location,impact,title,summary
AZ-SB-1633 (2020),"Arizona, USA",Environment,Establish state-wide standards for drinking water pollutants,"Primary drinking water maximum contaminant levels established by the administrator before August 13, 1986 are adopted as drinking water aquifer water quality standards. The administrator may adopt additional primary drinking water maximum contaminant levels, unless ""substantial opposition"" are received during the first year of review."
AZ-HB-2817 (2020),"Arizona, USA",Transportation,Public airport fees prohibited for Ride Sharing companies,"Additional or more restrictive requirements may not include a tax, fee or assessment of any kind on transportation network companies for operating at a public airport.  Transportation Network Companies include Taxis, Limousines and Ride Sharing companies."
